"omega_stop_mode","sub_stop_mode","omega_stop_metric","inner_iter","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
"duality_gap","residual_plus_proxy",0,23.2792792792793,1,4.28601756969282,8.86040963730461,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,500.5,2,3.66654767904032,7.57979029781112,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,496.60007934934,3,3.13661147302283,6.4842623886032,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00210912308351287,53.1958762886598,4,2.68326840230086,5.54707413691853,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,500.5,5,2.29544825067144,4.74534027718437,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0228593533931469,399.448806774444,6,1.96368081068312,4.05948321411427,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,11.4262295081967,7,1.67986462997683,3.47275495603733,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00796194686485092,54.7289156626506,8,1.4370691813531,2.97082814451621,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0082592718058346,52.6503067484663,9,1.22936562574292,2.54144619357784,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.010156111855663,60.7444444444444,10,1.05168203547115,2.17412399528183,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.014724659988488,56.635294117647,11,0.899679542499283,1.85989188313518,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0177618054416792,54.2790697674419,12,0.769646387302891,1.5910766011778,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0129344567907988,451.120071684586,13,0.658407281155739,1.3611139302077,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00678665603029854,21.2222222222222,14,0.563245868531947,1.16438839565236,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00531544921802924,18.9893617021277,15,0.481838396230109,0.996096142901866,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00671413452067522,21.3947368421053,16,0.412196969481073,0.85212763164655,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00665586580249729,20.8205128205128,17,0.352621009406314,0.728967284724337,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0061193066786408,22.5697674418605,18,0.301655726463164,0.623607640995718,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0278138708153426,45.2818791946309,19,0.258056595837054,0.533475915939497,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0269018090141094,46.4810126582278,20,0.220758967302882,0.456371176647336,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0252484166990151,50.6300578034682,21,0.188852067456581,0.390410597088876,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0209351312844233,66.1542056074766,22,0.161556759475561,0.333983481251,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00384203029127881,40.5,23,0.138206517322057,0.285711931439055,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0114314052586818,28.0934579439252,24,0.118231149797118,0.244417201296511,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0112677906593128,30.5089285714286,25,0.101142877001776,0.209090911915109,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0109453607974084,33.0593220338983,26,0.0865244192055192,0.178870428159656,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00515018102471838,35.8897637795275,27,0.0740188072633227,0.153017793920229,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00476097523569326,39.1739130434783,28,0.0633206657610876,0.130901711910223,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0273934691420589,85.6367346938774,29,0.054168756032011,0.111982127973692,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.0282605687854174,69.2723004694836,30,0.0463395969512803,0.0957970434650741,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,40.9452054794521,31,0.03964200773483,0.0819512336719061,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00627180275519996,29.8103448275862,32,0.0339124394823833,0.0701065967948781,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00604904601756114,31.0333333333333,33,0.0290109814653977,0.059973897816312,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.00587884192981233,32.3852459016394,34,0.0248179446371843,0.0513057056500027,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0.008892332435026,40,35,0.021230938937691,0.0438903511041895,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,35.8897637795275,36,0.0181623730234537,0.0375467581167345,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,46.5,37,0.0155373153684439,0.0321200220460756,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,50,38,0.0132916645058849,0.0274776270439327,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,51.5,39,0.0113705837300447,0.0235062101415248,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,54,40,0.00972716203487634,0.0201087930312938,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,56,41,0.00832126859087539,0.0172024139468184,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,47.5,42,0.0071185727875427,0.0147161018136279,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,29.5,43,0.00608970591180167,0.0125891432015631,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,30.5,44,0.00520954399133618,0.0107695997592715,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,37.5,45,0.00445659429055048,0.00921303992796748,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,42,46,0.0038124704779531,0.00788145396408534,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,44,47,0.00326144364904004,0.00674232577668861,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,46.5,48,0.00279005824107379,0.00576783891476746,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,48.5,49,0.00238680346075426,0.00493419731537282,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,50,50,0.00204183220135076,0.00422104422588818,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,50.5,51,0.0017467205855129,0.00361096511106137,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,50.5,52,0.00149426226201944,0.00308906240624825,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,51,53,0.00127829243338299,0.00264259173273804,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,52,54,0.00109353731722829,0.0022606506918767,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,52,55,0.000935485365430906,0.00193391263863052,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,52,56,0.000800277096307539,0.00165439893358759,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,52.5,57,0.000684610849662435,0.00141528411200309,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,53,58,0.000585662163315752,0.00121072921229753,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,53.5,59,0.000501014802363725,0.00103573919404487,1e-04,"case_oracle_change"
"duality_gap","residual_plus_proxy",0,53.5,60,0.000428601756969282,0.00088604096373046,1e-04,"case_oracle_change"
